max: 99999999, 2: 0.254126
max: 99999999, 3: 0.212427
max: 99999999, 4: 0.192847
max: 99999999, 5: 0.177173
max: 99999999, 6: 0.169300
max: 99999999, 7: 0.161858
max: 99999999, 8: 0.158996
max: 99999999, 9: 0.153820
max: 99999999, 10: 0.152552
max: 99999999, 11: 0.148933
max: 99999999, 12: 0.148065
max: 99999999, 13: 0.146083
max: 99999999, 14: 0.145656
max: 99999999, 15: 0.143482
max: 99999999, 16: 0.145090
max: 99999999, 17: 0.142541
max: 99999999, 18: 0.142883
max: 99999999, 19: 0.141976
max: 99999999, 20: 0.143608
max: 99999999, 21: 0.141194
max: 99999999, 22: 0.140679
max: 99999999, 23: 0.139732
max: 99999999, 24: 0.139972
