max: 999999, 2: 0.001718
max: 999999, 3: 0.001271
max: 999999, 4: 0.001041
max: 999999, 5: 0.000892
max: 999999, 6: 0.000781
max: 999999, 7: 0.000702
max: 999999, 8: 0.000637
max: 999999, 9: 0.000591
max: 999999, 10: 0.000546
max: 999999, 11: 0.000539
max: 999999, 12: 0.000516
max: 999999, 13: 0.000493
max: 999999, 14: 0.000481
max: 999999, 15: 0.000475
max: 999999, 16: 0.000455
max: 999999, 17: 0.000454
max: 999999, 18: 0.000447
max: 999999, 19: 0.000448
max: 999999, 20: 0.000447
max: 999999, 21: 0.000438
max: 999999, 22: 0.000442
max: 999999, 23: 0.000444
max: 999999, 24: 0.000454
