2: 0.000017 
3: 0.000018 
4: 0.000020 
5: 0.000021 
6: 0.000024 
7: 0.000026 
8: 0.000029 
9: 0.000033 
10: 0.000029 
11: 0.000028 
12: 0.000031 
13: 0.000030 
14: 0.000033 
15: 0.000035 
16: 0.000037 
17: 0.000035 
18: 0.000038 
19: 0.000039 
20: 0.000040 
21: 0.000041 
22: 0.000044 
23: 0.000045 
24: 0.000044 
2: 0.000017 
3: 0.000019 
4: 0.000019 
5: 0.000021 
6: 0.000024 
7: 0.000027 
8: 0.000030 
9: 0.000031 
10: 0.000028 
11: 0.000028 
12: 0.000030 
13: 0.000029 
14: 0.000033 
15: 0.000035 
16: 0.000036 
17: 0.000035 
18: 0.000037 
19: 0.000036 
20: 0.000039 
21: 0.000039 
22: 0.000042 
23: 0.000043 
24: 0.000045 
