2: 0.356564
3: 0.324870
4: 0.306387
5: 0.280156
6: 0.287804
7: 0.274447
8: 0.274843
9: 0.270830
10: 0.262292
11: 0.267558
12: 0.272524
13: 0.269518
14: 0.267813
15: 0.263459
16: 0.260754
17: 0.264941
18: 0.266340
19: 0.263780
20: 0.260556
21: 0.266018
22: 0.266279
23: 0.264355
24: 0.271878
2: 0.354000
3: 0.322399
4: 0.304848
5: 0.279004
6: 0.288253
7: 0.275187
8: 0.275194
9: 0.270602
10: 0.262075
11: 0.267395
12: 0.272503
13: 0.269645
14: 0.267645
15: 0.263509
16: 0.261794
17: 0.265189
18: 0.266069
19: 0.263938
20: 0.260390
21: 0.265449
22: 0.266203
23: 0.264641
24: 0.272187
